name,primalbound,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_new.obj,cvx_sbmiqp_new.dual_obj,cvx_sbmiqp_new.load_time,cvx_sbmiqp_new.calc_time,cvx_sbmiqp_new.iter_nr,cvx_sbmiqp_new.NLP_runs,cvx_sbmiqp_new.FNLP_runs,cvx_sbmiqp_new.MIQP_runs,cvx_sbmiqp_new.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_sbmiqp_ee_new.obj,cvx_sbmiqp_ee_new.dual_obj,cvx_sbmiqp_ee_new.load_time,cvx_sbmiqp_ee_new.calc_time,cvx_sbmiqp_ee_new.iter_nr,cvx_sbmiqp_ee_new.NLP_runs,cvx_sbmiqp_ee_new.FNLP_runs,cvx_sbmiqp_ee_new.MIQP_runs,cvx_sbmiqp_ee_new.MILP_runs
flay05h,64.49806199,64.49782653292003,64.49782653292003,93.375559827,88,0010,70,64.49806204036643,64.20531859852211,0.9206690001301467,212.5947667323053,197.07000271799993,702.1205649739131,12,44,0,8,6,64.49806202696796,63.94041780512232,0.90144419495482,272.35618434194475,11,46,0,2,9,64.49806206402187,64.4980620272829,0.887529952917248,3.109106090851128,3.4213496789999995,1.969874978531152,3,9,0,3,0,64.49806203280008,64.49806211483586,0.8741923649795353,54.738945910008624,3,10,0,3,0
flay05m,64.49806199,64.498061758129978,61.596102792281208,299.999909774,20,101050,160,64.49806186383984,64.14629879565996,0.05617998307570815,62.57981351716444,60.220231143999996,184.2499288492836,12,52,0,8,6,64.4980618457532,63.94046827645549,0.05690517101902515,63.05715145904105,11,51,0,2,9,64.49806177897882,64.49806185899081,0.05063107004389167,0.6480459040030837,1.0568496719999998,0.5540868360549212,3,9,0,3,0,64.49806177897563,64.49806185899081,0.04906261991709471,1.5598620160017163,3,11,0,3,0
flay06h,66.93280212,66.932801042600545,64.144241404872048,299.999436409,7,1020,140,66.9328021853548,65.7373557925838,2.151920283678919,301.86680896254256,297.263148253,599.5339297992177,7,26,0,5,3,66.9328022146619,65.05391985888687,2.109565834980458,301.56443110795226,7,29,0,2,5,66.93280217977812,66.93280232578522,2.069628458004445,13.482928918208927,13.737125743,8.992108119651675,3,9,0,3,0,66.93280218800965,66.93280226737888,2.055314169032499,83.26110911997966,3,11,0,3,0
flay06m,66.93280212,66.932801899240872,64.17923029254311,299.999872485,19,1060,140,66.93280196783981,66.4165027339914,0.09508364414796233,300.5395285761915,297.450754622,852.1736353668384,10,46,0,7,5,66.93280198843215,65.1906043539449,0.09113234397955239,300.43141862901393,8,36,0,2,6,66.9328018852667,66.93280199748492,0.08884427510201931,8.66669562086463,8.843747259,3.369489274919033,3,11,0,3,0,66.93280196168895,66.932801979326,0.08568499598186463,62.384788913070224,3,11,0,3,0
fo7,20.72982507,20.729814312203661,20.729814312203661,19.505519859,4,0010,50,20.729824746608614,20.722207204928623,0.16653085267171264,84.47541284421459,79.01925662699999,145.82721481192857,7,24,16,6,3,20.72982474132874,20.72981791072057,0.16545027901884168,97.74399292294402,5,21,18,3,3,20.729824746608614,20.729824746608614,0.1684753568843007,6.899756245780736,6.267974239999998,13.868331503588706,4,15,13,4,0,20.72982474145599,20.72982474145599,0.16234535595867783,64.78139659308363,3,11,9,3,0
fo7_2,17.74934573,17.749258882483975,17.749258882483975,11.568654076000001,5,0010,70,17.749345444272787,17.74911577178347,0.16941164806485176,54.795788989868015,49.081354363,63.24865928478539,6,20,14,6,4,17.749345432133822,17.749084926637668,0.16299405507743359,106.45449617202394,6,23,15,2,5,17.749345444272787,17.749345444272787,0.16684025106951594,3.1191577948629856,3.459397913,2.8129738103598356,2,6,3,2,0,17.749345432133822,17.749345432133822,0.16045730200130492,60.59872169792652,2,6,4,2,0
fo7_ar25_1,23.0935676,23.09356719166291,22.863334839615423,22.850342783000002,7,0000,100,23.093567311312718,22.894723830512536,0.20678954431787133,24.936058982275426,20.771915674000002,40.954068458639085,5,16,8,5,3,23.09356731010353,22.88697230834467,0.1987453589681536,127.93323074595537,5,21,10,5,3,23.122502270867862,23.122502270867862,0.2049996261484921,4.262799578718841,4.477157266000002,4.018699960317463,2,6,4,2,0,24.957575185182357,24.95757518763806,0.20152584102470428,66.99717758700717,3,11,8,3,0
fo7_ar2_1,24.83984707,24.839844332131552,24.839844332131552,40.0338943,5,0010,20,24.8504232613786,24.822011659741072,0.2149703288450837,22.126700981985778,19.700337405,20.467739465180784,4,16,8,4,2,24.850423264155346,24.82643804538722,0.20378200407139957,89.03653070994187,3,11,0,3,2,25.105821631847178,25.10582163456536,0.1979961753822863,6.256498499773443,5.984216248000002,8.099892715923488,3,11,8,3,0,24.9575751958442,24.957575204549308,0.19851668097544461,60.27317392791156,2,6,0,2,0
fo7_ar3_1,22.51747101,22.517454775285916,22.517454775285916,24.493246135000003,4,0010,100,22.51747052363853,22.513554763323924,0.210268828086555,65.62874236376956,60.488125079,74.77331822738051,5,20,7,5,4,22.517470529413952,22.340041099314224,0.202259365003556,122.05916438892018,5,21,7,3,4,22.51747053600675,22.51747052363853,0.19864803738892078,5.404524155892432,5.688009041999997,5.160158013459295,2,6,2,2,0,22.833306732973277,22.833306717461536,0.1981947150779888,60.272586367907934,2,6,0,2,0
fo7_ar4_1,20.72982507,20.729821810873684,20.729821810873684,48.393667491,11,0010,40,20.72982471380289,20.549026938350558,0.20904485927894711,42.598557238001376,38.028046998,55.80441017728299,5,18,11,5,3,20.729824793649666,20.59386804806453,0.20469619310460985,95.64960325101856,5,21,15,3,3,22.39245843449524,22.39245843449524,0.1971934251487255,6.936612769961357,7.187387642,6.669114138931036,2,6,3,2,0,20.729824692613043,20.729824692613043,0.1994151830440387,67.46738818893209,3,11,6,3,0
