name,primalbound,dualbound,objsense,cvx_new.obj,cvx_new.dual_obj,cvx_new.load_time,cvx_new.calc_time,cvx_new.solver_time,cvx_new.python_time,cvx_new.iter_nr,cvx_new.NLP_runs,cvx_new.FNLP_runs,cvx_new.MIQP_runs,cvx_new.MILP_runs,cvx_old.obj,cvx_old.dual_obj,cvx_old.load_time,cvx_old.calc_time,cvx_old.iter_nr,cvx_old.NLP_runs,cvx_old.FNLP_runs,cvx_old.MIQP_runs,cvx_old.MILP_runs
o7_ar3_1,137.931839,137.931833,min,137.93183763472666,137.2512803637855,0.25571817718446255,300.0757622262463,299.24716823454946,0.8285939916968346,5.0,21.0,13.0,5.0,2.0,138.1977474481836,136.40837423168313,0.26615546084940434,300.0463564964012,5.0,19.0,15.0,3.0,3.0
o7_ar4_1,131.6531381,131.653135,min,144.79151732257898,136.30417515576445,0.26538348849862814,300.04150563851,299.67199826892465,0.3695073695853352,6.0,26.0,22.0,2.0,4.0,inf,inf,,,,,,,
o7_ar5_1,116.9458471,116.945847,min,124.03103426748036,114.15265426211522,0.2559099830687046,300.0520910033956,299.61724080052227,0.4348502028733492,5.0,21.0,17.0,3.0,2.0,inf,inf,,,,,,,
o8_ar4_1,243.0707486,243.0706612,min,259.4019556873321,259.4017611381135,0.38498074654489756,300.0517386859283,299.2203946299851,0.831344055943191,5.0,21.0,17.0,5.0,1.0,276.3213882966932,246.90745869245367,0.399335372261703,300.04379784688354,5.0,21.0,19.0,5.0,1.0
o9_ar4_1,236.1384562,236.1238687,min,279.1548505745937,265.75572261029646,0.5584415560588241,300.0617128573358,299.30054048262537,0.7611723747104406,5.0,21.0,15.0,3.0,3.0,inf,inf,,,,,,,
p_ball_10b_5p_2d_h,18.71857799,18.71857797,min,18.71857768769345,18.71856985627022,0.37045565340667963,47.54300305712968,33.34204634837806,14.20095670875162,20.0,88.0,26.0,6.0,17.0,18.71857768591968,18.718575147499337,0.36674482375383377,49.56423832755536,24.0,89.0,35.0,8.0,22.0
p_ball_10b_5p_3d_h,44.00421681,44.00421676,min,44.004216500578885,44.00397224699199,0.5363260973244905,114.79854533821344,77.67170997709036,37.126835361123085,28.0,128.0,33.0,8.0,26.0,44.004216501016806,44.00420761233609,0.5406100442633033,99.25477030780166,27.0,98.0,31.0,8.0,24.0
p_ball_10b_5p_4d_h,71.37194798,71.37194791,min,71.37194773608397,68.47167271978657,0.7166033769026399,305.2101913485676,197.3094417117536,107.900749636814,42.0,193.0,59.0,4.0,41.0,71.51757062924753,65.89060142513154,0.7140174694359303,306.41527643986046,39.0,156.0,69.0,13.0,33.0
p_ball_10b_7p_3d_h,109.8032151,109.8032073,min,113.72510981750344,90.90387881355103,0.9587895097211003,301.08262312598526,274.9298062575981,26.152816868387163,22.0,105.0,58.0,10.0,15.0,112.54757291437004,57.64045646406493,1.0950578032061458,300.57053478993475,17.0,68.0,60.0,13.0,6.0
p_ball_15b_5p_2d_h,6.599867696,6.599867674,min,6.599865801730674,6.599467098000751,0.7046642154455185,120.643711168319,59.84150220640004,60.80220896191895,34.0,123.0,33.0,3.0,33.0,6.599865573879321,6.599601370099508,0.7697259848937392,125.96696833334865,29.0,103.0,24.0,5.0,26.0
p_ball_20b_5p_2d_h,2.437175093,2.43717508,min,8.079191446896546,8.079191518625109,1.0671200724318624,319.08247753605247,126.91741041932256,192.16506711672992,45.0,168.0,67.0,8.0,43.0,2.4371748019882213,0.0,1.1760253496468067,300.5641359370202,35.0,110.0,61.0,11.0,28.0
p_ball_20b_5p_3d_h,19.73646908,19.73646443,min,21.131548930734184,21.131548930734184,1.4436769811436534,309.541616583243,187.7206962108612,121.8209203723818,42.0,163.0,79.0,15.0,36.0,19.932390990513746,19.932390990513742,1.4664736175909638,306.83386696502566,42.0,130.0,48.0,4.0,41.0
