id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
170,pooling_epa1,NAN,NAN,NAN,NAN,NAN,NAN
171,pooling_epa2,NAN,NAN,NAN,NAN,NAN,NAN
172,pooling_epa3,NAN,NAN,NAN,NAN,NAN,NAN
173,primary,1.7976931348623157e+308,-100,7.492245438,6,0060,00
174,procsel,-1.9230987513698841,-1.9230987513698841,0.08761255800000001,3,0040,00
175,saa_2,NAN,NAN,NAN,NAN,NAN,NAN
176,sepasequ_complex,1.7976931348623157e+308,97.968510494068269,245.72279143,20,00130,00
177,sepasequ_convent,1.7976931348623157e+308,100.96851049407208,144.097793236,14,00140,00
178,sfacloc1_2_80,15.83862698645499,0,11.480686938,3,0030,00
179,sfacloc1_2_90,18.851527323836798,0,4.5479240569999995,4,0040,00
180,sfacloc1_2_95,1.7976931348623157e+308,2.0836759558193179,187.234649341,6,0060,00
181,sfacloc1_3_80,1.7976931348623157e+308,0,23.288990301000002,7,0070,00
182,sfacloc1_3_90,1.7976931348623157e+308,0,21.254727992,14,00140,00
183,sfacloc1_3_95,1.7976931348623157e+308,1.3448899543333319,322.075870093,11,1010,00
184,sfacloc1_4_80,1.7976931348623157e+308,0,35.01420189,7,0070,00
185,sfacloc1_4_90,29.772290822599992,0,19.422000957,6,0090,00
186,sfacloc1_4_95,1.7976931348623157e+308,0.73749019321792586,317.523665311,11,1010,00
187,sfacloc2_2_80,23.323864477947158,0,14.251295895,10,00100,00
188,sfacloc2_2_90,18.816978608781945,0,2.243392577,7,0070,00
189,sfacloc2_2_95,23.661780127095692,2.083675964066614,2.331372778,9,0060,00
190,sfacloc2_3_80,15.50690239868289,0,17.971177461,20,00170,00
191,sfacloc2_3_90,23.891893299954912,0,1.456648044,10,00100,00
192,sfacloc2_3_95,22.087421595169413,1.3448899543333324,6.534071376,7,0070,00
193,sfacloc2_4_80,19.710415315089918,0,5.035427637,10,00100,00
194,sfacloc2_4_90,19.024338150735403,0,1.209224009,10,00100,00
195,sfacloc2_4_95,20.139990732901069,0.93822471300000054,7.831335280999999,13,00110,00
196,spring,1.5686403224137138,0.48763959040418858,1.607042688,94,002200,00
197,st_e15,7.6671800624164419,5.931112091313345,0.084374951,2,0020,00
198,st_e29,0,-0.99430989460000008,0.112191102,7,0070,00
199,st_e32,1.7976931348623157e+308,-100,3.2164166770000002,19,00190,00
200,st_e35,92593.727247660383,0.00029160666764299658,1.107904968,4,0040,00
201,st_e36,-243.85676188641463,-402.50000000000006,0.6339246129999999,8,0080,00
