id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
159,rsyn0840m04hfsg,2564.4997367684668,10082.119776268317,134.264693776,25,00240,00
160,rsyn0840m04m,2562.0048459222107,2586.7732241511671,10.041278657,10,0000,40
161,sssd08-04,182381.71994413142,182381.71994413142,0.186416794,4,0010,20
162,sssd12-05,281863.28960519377,281863.28960519377,0.221189669,3,0010,100
163,sssd15-04,205160.71885044593,205160.71885044593,0.234315769,4,0010,70
164,sssd15-06,541792.88668940333,538731.16586444783,0.6264313579999999,9,0000,200
165,sssd15-08,564637.3125595937,560930.25809544278,0.859471234,10,0000,160
166,sssd16-07,420489.13348083937,420489.13348083937,0.692345128,7,0010,220
167,sssd18-06,399291.43214126502,399291.43214126502,0.544832576,7,0010,100
168,sssd18-08,836825.43401817034,828864.50262705248,1.3242395599999999,10,0000,210
169,sssd20-04,349208.25722550473,349208.25722550473,0.236414245,4,0010,200
170,sssd20-08,495105.5485167281,495105.5485167281,0.863160401,10,0010,320
171,sssd22-08,512163.9014184667,507778.83556989284,0.9879925829999999,7,0000,80
172,sssd25-04,302165.02457849483,299607.94989683526,0.21369949900000001,3,0000,50
173,sssd25-08,474385.24856826907,471301.46187984286,1.120360879,8,0000,70
174,st_e14,4.5795824024367047,4.5795824024367038,0.063454075,0,0000,20
175,stockcycle,120937.705,120937.68845093774,0.273145591,3,0010,210
176,syn05hfsg,837.7324008979798,1335.9263990680847,0.12098919999999999,3,0030,00
177,syn05m,837.44488458618787,839.56079639086158,0.066886121,1,0000,40
178,syn05m02hfsg,3027.7354205199231,4764.3594165847553,0.316570823,9,0070,00
179,syn05m02m,3032.7354287504882,3047.1933122034002,0.075089749,1,0000,50
180,syn05m03hfsg,4023.3718013600451,6484.0321257868927,0.27589687500000004,6,0060,00
181,syn05m03m,4027.3718119599835,4042.5363671346067,0.08109526900000001,1,0000,50
182,syn05m04hfsg,5506.3881104668317,8753.8027479682187,0.703451474,14,00140,00
183,syn05m04m,5510.38742151509,5541.6855744961204,0.086571735,1,0000,60
184,syn10hfsg,1267.3535761505582,2023.6106309778543,0.211096693,7,0070,00
185,syn10m,1267.3535827832409,1267.3535827832409,0.067053345,1,0000,30
186,syn10m02hfsg,2310.3007439375774,5309.5696359345311,0.384230898,7,0070,00
187,syn10m02m,2310.3007737143071,2312.9489431928578,0.111861832,2,0000,70
188,syn10m03hfsg,3354.682872621886,7692.0142942557331,0.480615646,6,0060,00
189,syn10m03m,3354.6829139391384,3355.0042350459157,0.125025103,2,0000,50
