id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs,grad_amplified
131,sfacloc1_2_95.nl,18.850070175441356,18.85007020949694,0.19472862221300602,0.498736921697855,0.197490475140512,0.301246446557343,2,2,0,2,0,True
132,sfacloc1_3_80.nl,8.608684691592169,8.608684691592169,2.184571960940957,12.70023572910577,7.829384633805603,4.870851095300168,3,7,0,3,2,True
133,sfacloc1_3_90.nl,11.900051431868313,11.900051431868313,0.748114890884608,3.665088402107358,0.5787302581593394,3.0863581439480186,2,2,0,2,1,True
134,sfacloc1_3_95.nl,12.456719378172272,12.456719419609989,0.42480626702308655,2.140360686928034,0.4566657701507211,1.6836949167773128,2,2,0,2,0,True
135,sfacloc1_4_80.nl,8.076885174530148,8.413667482827234,3.7610547030344605,35.01560721034184,26.212724743410945,8.802882466930896,3,9,0,3,1,True
136,sfacloc1_4_90.nl,11.145754337157246,11.859855241614245,0.8832061346620321,6.118683824315667,1.165109277702868,4.953574546612799,2,2,0,2,0,True
137,sfacloc1_4_95.nl,11.256016108211245,11.682879156374616,0.5480611650273204,5.504725920967758,0.9124754476360977,4.59225047333166,2,2,0,2,0,True
138,sfacloc2_2_80.nl,13.301607921648436,13.301607921648436,3.398101130966097,5.867643223144114,3.16387940896675,2.703763814177364,2,6,0,2,1,True
139,sfacloc2_2_90.nl,18.755627629238926,18.662413575606116,0.785972555167973,1.9080722690559924,0.5826974203810096,1.3253748486749828,2,5,0,2,1,True
140,sfacloc2_2_95.nl,19.63578311934752,19.575916864948354,0.3927567517384887,0.9920994169078767,0.35374431125819683,0.6383551056496799,2,4,0,2,1,True
141,sfacloc2_3_80.nl,11.346262040738619,11.346262040738619,4.0289505738765,12.065103949978948,4.374600291252136,7.690503658726811,3,9,0,3,2,True
142,sfacloc2_3_90.nl,15.80347036590109,15.79693484424389,1.078175172675401,4.20794753683731,0.6949413032270968,3.513006233610213,2,4,0,2,1,True
143,sfacloc2_3_95.nl,16.729037141363168,16.711225121882414,0.6504030437208712,7.0732245380058885,3.8541101878508925,3.219114350154996,2,3,0,2,1,True
144,sfacloc2_4_80.nl,13.2719960686983,13.305571526494868,5.171503718942404,13.520174507983029,3.820502534508705,9.699671973474324,3,8,0,3,1,True
145,sfacloc2_4_90.nl,20.410820069452235,20.565096022129943,0.965526529122144,11.199969205074012,1.0783012667670846,10.121667938306928,3,7,0,3,1,True
146,sfacloc2_4_95.nl,17.365270952992635,17.290326712056327,0.9244994311593473,6.122924189083278,0.4106835573911667,5.7122406316921115,2,2,0,2,1,True
147,spring.nl,1.019707956821128,1.019707956821128,0.06324830371886492,0.20956086926162243,0.13964658230543137,0.06991428695619106,4,8,2,3,3,True
148,st_e15.nl,7.667180068813135,7.667180061604702,0.022081864066421986,0.023968993220478296,0.01206549210473895,0.011903501115739346,2,2,0,2,0,True
149,st_e29.nl,-0.9049614980951736,-0.9049614980951736,0.023392819799482822,0.053679647855460644,0.02703093644231558,0.026648711413145065,3,3,0,2,2,True
150,st_e32.nl,-1.4304072818874314,-1.4304072819422575,0.117558638099581,0.3008376187644899,0.2726852670311928,0.02815235173329711,2,3,0,2,1,True
151,st_e36.nl,-244.84344322500846,-198.7880000000055,0.032255494967103004,0.056859047152101994,0.04483193578198552,0.012027111370116472,2,2,0,2,0,True
152,st_e38.nl,7197.7271168279385,7197.7271122335715,0.01778541784733534,0.021309487987309694,0.009738069493323565,0.01157141849398613,2,2,0,2,0,True
153,supplychainp1_020306.nl,437551.64259048045,437551.6425904803,0.24051743000745773,1.4689274318516254,0.3854165789671242,1.0835108528845012,2,6,0,2,1,True
154,supplychainp1_022020.nl,1784498.1401788709,1783546.3953183044,60.57979159895331,182.42749239783734,71.26789764966816,111.15959474816918,2,6,0,2,1,True
155,supplychainp1_030510.nl,860440.8575779061,860440.8575779061,1.3115213583223522,11.41760784573853,1.6440513054840267,9.773556540254503,2,6,0,2,1,True
156,supplychainr1_020306.nl,593974.6145857285,625745.9242028785,0.11661116918548942,1.3985771709121764,1.0084273479878902,0.3901498229242861,4,12,6,4,2,True
157,supplychainr1_022020.nl,2458364.21989613,2458364.21989613,28.264484249055386,304.3198648560792,147.9566896292381,156.36317522684112,10,36,26,8,3,True
158,supplychainr1_030510.nl,886799.9006097147,886799.9006097141,0.4777113050222397,5.59421552810818,0.7964608767069876,4.797754651401192,2,5,0,2,1,True
159,synheat.nl,154997.33365824624,154997.33172104735,0.10759830800816417,0.9660169747658074,0.8109966926276684,0.155020282138139,4,14,0,3,3,True
160,tanksize.nl,1.2686437708644465,1.2686437708644465,0.12458455795422196,0.2951386743225157,0.2352153337560594,0.05992334056645632,3,4,1,2,2,True
161,transswitch0014p.nl,8082.581682062387,8082.581682062386,0.6350047718733549,0.788177486974746,0.2911369348876178,0.49704055208712816,2,2,0,2,1,True
162,transswitch0030p.nl,573.9181315327788,573.9181315327788,1.8759154449217021,4.413820154033601,0.8101758807897568,3.6036442732438445,2,2,0,2,1,True
163,transswitch0039p.nl,41866.12316908696,41866.12316908696,2.356150690931827,5.415409664157778,1.064259849023074,4.351149815134704,2,2,0,2,1,True
164,transswitch0118p.nl,129467.74661174262,129467.7466117426,23.390875664073974,47.16591013316065,11.928627097047865,35.237283036112785,2,3,0,2,1,True
165,tspn05.nl,191.25520765854355,191.25520765854355,0.600756952073425,0.05128946900367737,0.02654191991314292,0.02474754909053445,2,2,0,2,1,True
166,tspn08.nl,290.56685370649546,290.6202936106877,0.09379009995609522,0.7964675482362509,0.7638188390992582,0.03264870913699269,2,2,1,2,1,True
